flo2d_250_station_id,ob_1_id,ob_2_id,ob_3_id,ob_4_id,ob_5_id,ob_6_id,ob_7_id,ob_8_id,ob_9_id,ob_10_id
2,100061,100038,100056,100043,100064,100075,100057,100059,100042,100045
3,100061,100038,100056,100043,100064,100057,100075,100059,100042,100045
4,100061,100038,100056,100043,100064,100057,100075,100059,100042,100045
5,100061,100038,100056,100043,100064,100057,100075,100059,100042,100045
6,100061,100038,100056,100043,100064,100057,100075,100059,100042,100045
7,100061,100038,100056,100064,100043,100075,100057,100059,100042,100045
8,100061,100038,100056,100043,100064,100075,100057,100059,100042,100045
9,100061,100038,100056,100043,100064,100075,100057,100059,100042,100045
10,100061,100038,100056,100043,100064,100075,100057,100059,100042,100045
11,100061,100038,100056,100043,100064,100075,100057,100059,100042,100045
12,100061,100038,100056,100043,100064,100057,100075,100059,100042,100045
13,100061,100038,100056,100043,100064,100057,100075,100059,100042,100045
14,100061,100038,100056,100043,100064,100057,100075,100059,100042,100045
15,100038,100061,100064,100056,100043,100075,100057,100059,100042,100045
16,100038,100061,100064,100056,100043,100075,100057,100059,100042,100045
17,100038,100061,100064,100056,100043,100075,100057,100059,100042,100045
18,100038,100061,100056,100064,100043,100075,100057,100059,100042,100045
19,100038,100061,100056,100043,100064,100075,100057,100059,100042,100045
20,100038,100061,100056,100043,100064,100075,100057,100059,100042,100045
21,100061,100038,100056,100043,100064,100075,100057,100059,100042,100045
22,100061,100038,100056,100043,100064,100075,100057,100059,100042,100045
23,100061,100038,100056,100043,100064,100057,100075,100059,100042,100045
24,100061,100038,100056,100043,100064,100057,100075,100059,100042,100045
25,100061,100038,100056,100043,100064,100057,100075,100059,100042,100045
26,100038,100061,100064,100043,100075,100056,100057,100059,100042,100045
27,100038,100061,100064,100043,100056,100075,100057,100059,100042,100045
28,100038,100061,100064,100043,100056,100075,100057,100059,100042,100045
29,100038,100061,100064,100056,100043,100075,100057,100059,100042,100045
30,100038,100061,100064,100056,100043,100075,100057,100059,100042,100045
31,100038,100061,100056,100064,100043,100075,100057,100059,100042,100045
32,100038,100061,100056,100043,100064,100075,100057,100059,100042,100045
33,100038,100061,100056,100043,100064,100075,100057,100059,100042,100045
34,100038,100061,100056,100043,100064,100075,100057,100059,100042,100045
35,100038,100061,100056,100043,100064,100075,100057,100059,100042,100045
36,100061,100038,100056,100043,100064,100075,100057,100059,100042,100045
37,100061,100038,100056,100043,100064,100057,100075,100059,100042,100045
38,100061,100038,100056,100043,100064,100057,100075,100059,100042,100045
39,100061,100038,100056,100043,100064,100057,100075,100059,100042,100045
40,100061,100038,100056,100043,100064,100057,100075,100059,100042,100045
41,100064,100038,100075,100061,100043,100056,100057,100059,100042,100045
42,100038,100064,100061,100075,100043,100056,100057,100059,100042,100045
43,100038,100064,100061,100075,100043,100056,100057,100059,100042,100045
44,100038,100061,100064,100043,100075,100056,100057,100059,100042,100045
45,100038,100061,100064,100043,100056,100075,100057,100059,100042,100045
46,100038,100061,100064,100043,100056,100075,100057,100059,100042,100045
47,100038,100061,100064,100043,100056,100075,100057,100059,100042,100045
48,100038,100061,100064,100056,100043,100075,100057,100059,100042,100045
49,100038,100061,100064,100056,100043,100075,100057,100059,100042,100045
50,100038,100061,100056,100064,100043,100075,100057,100059,100042,100045
51,100038,100061,100056,100043,100064,100075,100057,100059,100042,100045
52,100038,100061,100056,100043,100064,100075,100057,100059,100042,100045
53,100038,100061,100056,100043,100064,100075,100057,100059,100042,100045
54,100038,100061,100056,100043,100064,100075,100057,100059,100042,100045
55,100038,100061,100056,100043,100064,100057,100075,100059,100042,100045
56,100061,100038,100056,100043,100064,100057,100075,100059,100042,100045
57,100061,100038,100056,100043,100064,100057,100075,100059,100042,100045
58,100061,100038,100056,100043,100064,100057,100075,100059,100042,100045
59,100061,100038,100056,100043,100064,100057,100075,100059,100042,100045
60,100061,100038,100056,100043,100064,100057,100075,100059,100042,100045
61,100064,100075,100038,100043,100061,100056,100057,100059,100042,100045
62,100064,100075,100038,100043,100061,100056,100057,100059,100042,100045
63,100064,100075,100038,100043,100061,100056,100057,100059,100042,100045
64,100064,100038,100075,100061,100043,100056,100057,100059,100042,100045
65,100064,100038,100075,100061,100043,100056,100057,100059,100042,100045
66,100038,100064,100061,100075,100043,100056,100057,100059,100042,100045
67,100038,100064,100061,100075,100043,100056,100057,100059,100042,100045
68,100038,100064,100061,100043,100075,100056,100057,100059,100042,100045
69,100038,100061,100064,100043,100056,100075,100057,100059,100042,100045
70,100038,100061,100064,100043,100056,100075,100057,100059,100042,100045
71,100038,100061,100064,100043,100056,100075,100057,100059,100042,100045
72,100038,100061,100064,100056,100043,100075,100057,100059,100042,100045
73,100038,100061,100056,100064,100043,100075,100057,100059,100042,100045
74,100038,100061,100056,100043,100064,100075,100057,100059,100042,100045
75,100038,100061,100056,100043,100064,100075,100057,100059,100042,100045
76,100038,100061,100056,100043,100064,100075,100057,100059,100042,100045
77,100038,100061,100056,100043,100064,100075,100057,100059,100042,100045
78,100038,100061,100056,100043,100064,100057,100075,100059,100042,100045
79,100038,100061,100056,100043,100064,100057,100075,100059,100042,100045
80,100038,100061,100056,100043,100064,100057,100075,100059,100042,100045
81,100061,100038,100056,100043,100064,100057,100075,100059,100042,100045
82,100061,100038,100056,100043,100064,100057,100075,100059,100042,100045
83,100061,100038,100056,100043,100064,100057,100075,100059,100042,100045
84,100061,100038,100056,100043,100064,100057,100075,100059,100042,100045
85,100061,100038,100056,100043,100064,100057,100075,100059,100042,100045
86,100061,100038,100056,100043,100057,100064,100075,100059,100042,100045
87,100061,100038,100056,100043,100057,100064,100075,100059,100042,100045
88,100061,100038,100056,100043,100057,100064,100075,100059,100042,100045
89,100061,100038,100056,100043,100057,100064,100075,100059,100042,100045
90,100064,100075,100043,100038,100056,100061,100057,100042,100059,100045
91,100064,100075,100043,100038,100061,100056,100057,100042,100059,100045
92,100064,100075,100038,100043,100061,100056,100057,100042,100059,100045
93,100064,100075,100038,100043,100061,100056,100057,100042,100059,100045
94,100064,100075,100038,100043,100061,100056,100057,100059,100042,100045
95,100064,100075,100038,100043,100061,100056,100057,100059,100042,100045
96,100064,100075,100038,100043,100061,100056,100057,100059,100042,100045
97,100064,100075,100038,100043,100061,100056,100057,100059,100042,100045
98,100064,100075,100038,100043,100061,100056,100057,100059,100042,100045
99,100064,100038,100075,100043,100061,100056,100057,100059,100042,100045
100,100064,100038,100075,100061,100043,100056,100057,100059,100042,100045
101,100038,100064,100061,100075,100043,100056,100057,100059,100042,100045
102,100038,100064,100061,100043,100075,100056,100057,100059,100042,100045
103,100038,100064,100061,100043,100075,100056,100057,100059,100042,100045
104,100038,100061,100064,100043,100056,100075,100057,100059,100042,100045
105,100038,100061,100064,100043,100056,100075,100057,100059,100042,100045
106,100038,100061,100064,100043,100056,100075,100057,100059,100042,100045
107,100038,100061,100064,100056,100043,100075,100057,100059,100042,100045
108,100038,100061,100056,100043,100064,100075,100057,100059,100042,100045
109,100038,100061,100056,100043,100064,100075,100057,100059,100042,100045
110,100038,100061,100056,100043,100064,100075,100057,100059,100042,100045
111,100038,100061,100056,100043,100064,100075,100057,100059,100042,100045
112,100038,100061,100056,100043,100064,100075,100057,100059,100042,100045
113,100038,100061,100056,100043,100064,100057,100075,100059,100042,100045
114,100038,100061,100056,100043,100064,100057,100075,100059,100042,100045
115,100038,100061,100056,100043,100064,100057,100075,100059,100042,100045
116,100038,100061,100056,100043,100064,100057,100075,100059,100042,100045
117,100061,100038,100056,100043,100064,100057,100075,100059,100042,100045
118,100061,100038,100056,100043,100064,100057,100075,100059,100042,100045
119,100061,100038,100056,100043,100064,100057,100075,100059,100042,100045
120,100061,100038,100056,100043,100057,100064,100075,100059,100042,100045
121,100061,100038,100056,100043,100057,100064,100075,100059,100042,100045
