id,stationId,name,control,status,longitude,latitude,resolution,description
1100053,wrf0_80.338333_6.562225,wrf0_80.338333_6.562225,virtual,n/a,80.3383,6.56223,0,WRF point
1100054,wrf0_80.365562_6.562225,wrf0_80.365562_6.562225,virtual,n/a,80.3656,6.56223,0,WRF point
1100055,wrf0_80.392792_6.562225,wrf0_80.392792_6.562225,virtual,n/a,80.3928,6.56223,0,WRF point
1100056,wrf0_80.420021_6.562225,wrf0_80.420021_6.562225,virtual,n/a,80.42,6.56223,0,WRF point
1100057,wrf0_80.447250_6.562225,wrf0_80.447250_6.562225,virtual,n/a,80.4473,6.56223,0,WRF point
1100058,wrf0_80.474480_6.562225,wrf0_80.474480_6.562225,virtual,n/a,80.4745,6.56223,0,WRF point
1100059,wrf0_80.501709_6.562225,wrf0_80.501709_6.562225,virtual,n/a,80.5017,6.56223,0,WRF point
1100060,wrf0_80.528938_6.562225,wrf0_80.528938_6.562225,virtual,n/a,80.5289,6.56223,0,WRF point
1100061,wrf0_80.556168_6.562225,wrf0_80.556168_6.562225,virtual,n/a,80.5562,6.56223,0,WRF point
1100062,wrf0_80.583397_6.562225,wrf0_80.583397_6.562225,virtual,n/a,80.5834,6.56223,0,WRF point
1100063,wrf0_80.610626_6.562225,wrf0_80.610626_6.562225,virtual,n/a,80.6106,6.56223,0,WRF point
1100064,wrf0_80.637856_6.562225,wrf0_80.637856_6.562225,virtual,n/a,80.6379,6.56223,0,WRF point
1100065,wrf0_80.665085_6.562225,wrf0_80.665085_6.562225,virtual,n/a,80.6651,6.56223,0,WRF point
1100066,wrf0_80.692314_6.562225,wrf0_80.692314_6.562225,virtual,n/a,80.6923,6.56223,0,WRF point
1100067,wrf0_80.719543_6.562225,wrf0_80.719543_6.562225,virtual,n/a,80.7195,6.56223,0,WRF point
1100068,wrf0_80.746773_6.562225,wrf0_80.746773_6.562225,virtual,n/a,80.7468,6.56223,0,WRF point
1100069,wrf0_80.774002_6.562225,wrf0_80.774002_6.562225,virtual,n/a,80.774,6.56223,0,WRF point
1100070,wrf0_79.848206_6.589272,wrf0_79.848206_6.589272,virtual,n/a,79.8482,6.58927,0,WRF point
1100071,wrf0_79.875435_6.589272,wrf0_79.875435_6.589272,virtual,n/a,79.8754,6.58927,0,WRF point
1100072,wrf0_79.902664_6.589272,wrf0_79.902664_6.589272,virtual,n/a,79.9027,6.58927,0,WRF point
1100073,wrf0_79.929893_6.589272,wrf0_79.929893_6.589272,virtual,n/a,79.9299,6.58927,0,WRF point
1100074,wrf0_79.957123_6.589272,wrf0_79.957123_6.589272,virtual,n/a,79.9571,6.58927,0,WRF point
1100075,wrf0_79.984352_6.589272,wrf0_79.984352_6.589272,virtual,n/a,79.9844,6.58927,0,WRF point
1100076,wrf0_80.011581_6.589272,wrf0_80.011581_6.589272,virtual,n/a,80.0116,6.58927,0,WRF point
1100077,wrf0_80.038811_6.589272,wrf0_80.038811_6.589272,virtual,n/a,80.0388,6.58927,0,WRF point
1100078,wrf0_80.066040_6.589272,wrf0_80.066040_6.589272,virtual,n/a,80.066,6.58927,0,WRF point
1100079,wrf0_80.093269_6.589272,wrf0_80.093269_6.589272,virtual,n/a,80.0933,6.58927,0,WRF point
1100080,wrf0_80.120499_6.589272,wrf0_80.120499_6.589272,virtual,n/a,80.1205,6.58927,0,WRF point
1100081,wrf0_80.147728_6.589272,wrf0_80.147728_6.589272,virtual,n/a,80.1477,6.58927,0,WRF point
1100082,wrf0_80.174957_6.589272,wrf0_80.174957_6.589272,virtual,n/a,80.175,6.58927,0,WRF point
1100083,wrf0_80.202187_6.589272,wrf0_80.202187_6.589272,virtual,n/a,80.2022,6.58927,0,WRF point
1100084,wrf0_80.229416_6.589272,wrf0_80.229416_6.589272,virtual,n/a,80.2294,6.58927,0,WRF point
1100085,wrf0_80.256645_6.589272,wrf0_80.256645_6.589272,virtual,n/a,80.2566,6.58927,0,WRF point
1100086,wrf0_80.283875_6.589272,wrf0_80.283875_6.589272,virtual,n/a,80.2839,6.58927,0,WRF point
1100087,wrf0_80.311104_6.589272,wrf0_80.311104_6.589272,virtual,n/a,80.3111,6.58927,0,WRF point
1100088,wrf0_80.338333_6.589272,wrf0_80.338333_6.589272,virtual,n/a,80.3383,6.58927,0,WRF point
1100089,wrf0_80.365562_6.589272,wrf0_80.365562_6.589272,virtual,n/a,80.3656,6.58927,0,WRF point
1100090,wrf0_80.392792_6.589272,wrf0_80.392792_6.589272,virtual,n/a,80.3928,6.58927,0,WRF point
1100091,wrf0_80.420021_6.589272,wrf0_80.420021_6.589272,virtual,n/a,80.42,6.58927,0,WRF point
1100092,wrf0_80.447250_6.589272,wrf0_80.447250_6.589272,virtual,n/a,80.4473,6.58927,0,WRF point
1100093,wrf0_80.474480_6.589272,wrf0_80.474480_6.589272,virtual,n/a,80.4745,6.58927,0,WRF point
1100094,wrf0_80.501709_6.589272,wrf0_80.501709_6.589272,virtual,n/a,80.5017,6.58927,0,WRF point
1100095,wrf0_80.528938_6.589272,wrf0_80.528938_6.589272,virtual,n/a,80.5289,6.58927,0,WRF point
1100096,wrf0_80.556168_6.589272,wrf0_80.556168_6.589272,virtual,n/a,80.5562,6.58927,0,WRF point
1100097,wrf0_80.583397_6.589272,wrf0_80.583397_6.589272,virtual,n/a,80.5834,6.58927,0,WRF point
1100098,wrf0_80.610626_6.589272,wrf0_80.610626_6.589272,virtual,n/a,80.6106,6.58927,0,WRF point
1100099,wrf0_80.637856_6.589272,wrf0_80.637856_6.589272,virtual,n/a,80.6379,6.58927,0,WRF point
1100100,wrf0_80.665085_6.589272,wrf0_80.665085_6.589272,virtual,n/a,80.6651,6.58927,0,WRF point
1100101,wrf0_80.692314_6.589272,wrf0_80.692314_6.589272,virtual,n/a,80.6923,6.58927,0,WRF point
1100102,wrf0_80.719543_6.589272,wrf0_80.719543_6.589272,virtual,n/a,80.7195,6.58927,0,WRF point
1100103,wrf0_80.746773_6.589272,wrf0_80.746773_6.589272,virtual,n/a,80.7468,6.58927,0,WRF point
1100104,wrf0_80.774002_6.589272,wrf0_80.774002_6.589272,virtual,n/a,80.774,6.58927,0,WRF point
1100105,wrf0_79.848206_6.616318,wrf0_79.848206_6.616318,virtual,n/a,79.8482,6.61632,0,WRF point
1100106,wrf0_79.875435_6.616318,wrf0_79.875435_6.616318,virtual,n/a,79.8754,6.61632,0,WRF point
1100107,wrf0_79.902664_6.616318,wrf0_79.902664_6.616318,virtual,n/a,79.9027,6.61632,0,WRF point
1100108,wrf0_79.929893_6.616318,wrf0_79.929893_6.616318,virtual,n/a,79.9299,6.61632,0,WRF point
1100109,wrf0_79.957123_6.616318,wrf0_79.957123_6.616318,virtual,n/a,79.9571,6.61632,0,WRF point
1100110,wrf0_79.984352_6.616318,wrf0_79.984352_6.616318,virtual,n/a,79.9844,6.61632,0,WRF point
1100111,wrf0_80.011581_6.616318,wrf0_80.011581_6.616318,virtual,n/a,80.0116,6.61632,0,WRF point
1100112,wrf0_80.038811_6.616318,wrf0_80.038811_6.616318,virtual,n/a,80.0388,6.61632,0,WRF point
1100113,wrf0_80.066040_6.616318,wrf0_80.066040_6.616318,virtual,n/a,80.066,6.61632,0,WRF point
1100114,wrf0_80.093269_6.616318,wrf0_80.093269_6.616318,virtual,n/a,80.0933,6.61632,0,WRF point
1100115,wrf0_80.120499_6.616318,wrf0_80.120499_6.616318,virtual,n/a,80.1205,6.61632,0,WRF point
1100116,wrf0_80.147728_6.616318,wrf0_80.147728_6.616318,virtual,n/a,80.1477,6.61632,0,WRF point
1100117,wrf0_80.174957_6.616318,wrf0_80.174957_6.616318,virtual,n/a,80.175,6.61632,0,WRF point
1100118,wrf0_80.202187_6.616318,wrf0_80.202187_6.616318,virtual,n/a,80.2022,6.61632,0,WRF point
1100119,wrf0_80.229416_6.616318,wrf0_80.229416_6.616318,virtual,n/a,80.2294,6.61632,0,WRF point
1100120,wrf0_80.256645_6.616318,wrf0_80.256645_6.616318,virtual,n/a,80.2566,6.61632,0,WRF point
1100121,wrf0_80.283875_6.616318,wrf0_80.283875_6.616318,virtual,n/a,80.2839,6.61632,0,WRF point
1100122,wrf0_80.311104_6.616318,wrf0_80.311104_6.616318,virtual,n/a,80.3111,6.61632,0,WRF point
1100123,wrf0_80.338333_6.616318,wrf0_80.338333_6.616318,virtual,n/a,80.3383,6.61632,0,WRF point
1100124,wrf0_80.365562_6.616318,wrf0_80.365562_6.616318,virtual,n/a,80.3656,6.61632,0,WRF point
1100125,wrf0_80.392792_6.616318,wrf0_80.392792_6.616318,virtual,n/a,80.3928,6.61632,0,WRF point
1100126,wrf0_80.420021_6.616318,wrf0_80.420021_6.616318,virtual,n/a,80.42,6.61632,0,WRF point
1100127,wrf0_80.447250_6.616318,wrf0_80.447250_6.616318,virtual,n/a,80.4473,6.61632,0,WRF point
1100128,wrf0_80.474480_6.616318,wrf0_80.474480_6.616318,virtual,n/a,80.4745,6.61632,0,WRF point
1100129,wrf0_80.501709_6.616318,wrf0_80.501709_6.616318,virtual,n/a,80.5017,6.61632,0,WRF point
1100130,wrf0_80.528938_6.616318,wrf0_80.528938_6.616318,virtual,n/a,80.5289,6.61632,0,WRF point
1100131,wrf0_80.556168_6.616318,wrf0_80.556168_6.616318,virtual,n/a,80.5562,6.61632,0,WRF point
1100132,wrf0_80.583397_6.616318,wrf0_80.583397_6.616318,virtual,n/a,80.5834,6.61632,0,WRF point
1100133,wrf0_80.610626_6.616318,wrf0_80.610626_6.616318,virtual,n/a,80.6106,6.61632,0,WRF point
