id,latitude,longitude
1100000,79.8482,6.53517
1100035,79.8482,6.56223
1100070,79.8482,6.58927
1100105,79.8482,6.61632
1100140,79.8482,6.64336
1100175,79.8482,6.67042
1100210,79.8482,6.69746
1100245,79.8482,6.72449
1100280,79.8482,6.75154
1100315,79.8482,6.77859
1100350,79.8482,6.80562
1100385,79.8482,6.83266
1100420,79.8482,6.85969
1100455,79.8482,6.88672
1100490,79.8482,6.91376
1100525,79.8482,6.94079
1100560,79.8482,6.96781
1100595,79.8482,6.99484
1100630,79.8482,7.02187
1100665,79.8482,7.0489
1100700,79.8482,7.07591
1100735,79.8482,7.10294
1100770,79.8482,7.12996
1100805,79.8482,7.15697
1100840,79.8482,7.184
1100875,79.8482,7.21101
1100910,79.8482,7.23801
1100001,79.8754,6.53517
1100036,79.8754,6.56223
1100071,79.8754,6.58927
1100106,79.8754,6.61632
1100141,79.8754,6.64336
1100176,79.8754,6.67042
1100211,79.8754,6.69746
1100246,79.8754,6.72449
1100281,79.8754,6.75154
1100316,79.8754,6.77859
1100351,79.8754,6.80562
1100386,79.8754,6.83266
1100421,79.8754,6.85969
1100456,79.8754,6.88672
1100491,79.8754,6.91376
1100526,79.8754,6.94079
1100561,79.8754,6.96781
1100596,79.8754,6.99484
1100631,79.8754,7.02187
1100666,79.8754,7.0489
1100701,79.8754,7.07591
1100736,79.8754,7.10294
1100771,79.8754,7.12996
1100806,79.8754,7.15697
1100841,79.8754,7.184
1100876,79.8754,7.21101
1100911,79.8754,7.23801
1100002,79.9027,6.53517
1100037,79.9027,6.56223
1100072,79.9027,6.58927
1100107,79.9027,6.61632
1100142,79.9027,6.64336
1100177,79.9027,6.67042
1100212,79.9027,6.69746
1100247,79.9027,6.72449
1100282,79.9027,6.75154
1100317,79.9027,6.77859
1100352,79.9027,6.80562
1100387,79.9027,6.83266
1100422,79.9027,6.85969
1100457,79.9027,6.88672
1100492,79.9027,6.91376
1100527,79.9027,6.94079
1100562,79.9027,6.96781
1100597,79.9027,6.99484
1100632,79.9027,7.02187
1100667,79.9027,7.0489
1100702,79.9027,7.07591
1100737,79.9027,7.10294
1100772,79.9027,7.12996
1100807,79.9027,7.15697
1100842,79.9027,7.184
1100877,79.9027,7.21101
1100912,79.9027,7.23801
1100003,79.9299,6.53517
1100038,79.9299,6.56223
1100073,79.9299,6.58927
1100108,79.9299,6.61632
1100143,79.9299,6.64336
1100178,79.9299,6.67042
1100213,79.9299,6.69746
1100248,79.9299,6.72449
1100283,79.9299,6.75154
1100318,79.9299,6.77859
1100353,79.9299,6.80562
1100388,79.9299,6.83266
1100423,79.9299,6.85969
1100458,79.9299,6.88672
1100493,79.9299,6.91376
1100528,79.9299,6.94079
1100563,79.9299,6.96781
1100598,79.9299,6.99484
1100633,79.9299,7.02187
1100668,79.9299,7.0489
1100703,79.9299,7.07591
1100738,79.9299,7.10294
1100773,79.9299,7.12996
1100808,79.9299,7.15697
1100843,79.9299,7.184
1100878,79.9299,7.21101
1100913,79.9299,7.23801
1100004,79.9571,6.53517
1100039,79.9571,6.56223
1100074,79.9571,6.58927
1100109,79.9571,6.61632
1100144,79.9571,6.64336
1100179,79.9571,6.67042
1100214,79.9571,6.69746
1100249,79.9571,6.72449
1100284,79.9571,6.75154
1100319,79.9571,6.77859
1100354,79.9571,6.80562
1100389,79.9571,6.83266
1100424,79.9571,6.85969
1100459,79.9571,6.88672
1100494,79.9571,6.91376
1100529,79.9571,6.94079
1100564,79.9571,6.96781
1100599,79.9571,6.99484
1100634,79.9571,7.02187
1100669,79.9571,7.0489
1100704,79.9571,7.07591
1100739,79.9571,7.10294
1100774,79.9571,7.12996
1100809,79.9571,7.15697
1100844,79.9571,7.184
1100879,79.9571,7.21101
1100914,79.9571,7.23801
1100005,79.9844,6.53517
1100040,79.9844,6.56223
1100075,79.9844,6.58927
1100110,79.9844,6.61632
1100145,79.9844,6.64336
1100180,79.9844,6.67042
1100215,79.9844,6.69746
1100250,79.9844,6.72449
1100285,79.9844,6.75154
1100320,79.9844,6.77859
1100355,79.9844,6.80562
1100390,79.9844,6.83266
1100425,79.9844,6.85969
1100460,79.9844,6.88672
1100495,79.9844,6.91376
1100530,79.9844,6.94079
1100565,79.9844,6.96781
1100600,79.9844,6.99484
1100635,79.9844,7.02187
1100670,79.9844,7.0489
1100705,79.9844,7.07591
1100740,79.9844,7.10294
1100775,79.9844,7.12996
1100810,79.9844,7.15697
1100845,79.9844,7.184
1100880,79.9844,7.21101
1100915,79.9844,7.23801
1100006,80.0116,6.53517
1100041,80.0116,6.56223
1100076,80.0116,6.58927
1100111,80.0116,6.61632
1100146,80.0116,6.64336
1100181,80.0116,6.67042
1100216,80.0116,6.69746
1100251,80.0116,6.72449
1100286,80.0116,6.75154
1100321,80.0116,6.77859
1100356,80.0116,6.80562
1100391,80.0116,6.83266
1100426,80.0116,6.85969
1100461,80.0116,6.88672
1100496,80.0116,6.91376
1100531,80.0116,6.94079
1100566,80.0116,6.96781
1100601,80.0116,6.99484
1100636,80.0116,7.02187
1100671,80.0116,7.0489
1100706,80.0116,7.07591
1100741,80.0116,7.10294
1100776,80.0116,7.12996
1100811,80.0116,7.15697
1100846,80.0116,7.184
1100881,80.0116,7.21101
1100916,80.0116,7.23801
1100007,80.0388,6.53517
1100042,80.0388,6.56223
1100077,80.0388,6.58927
1100112,80.0388,6.61632
1100147,80.0388,6.64336
1100182,80.0388,6.67042
1100217,80.0388,6.69746
1100252,80.0388,6.72449
1100287,80.0388,6.75154
1100322,80.0388,6.77859
1100357,80.0388,6.80562
1100392,80.0388,6.83266
1100427,80.0388,6.85969
1100462,80.0388,6.88672
1100497,80.0388,6.91376
1100532,80.0388,6.94079
1100567,80.0388,6.96781
1100602,80.0388,6.99484
1100637,80.0388,7.02187
1100672,80.0388,7.0489
1100707,80.0388,7.07591
1100742,80.0388,7.10294
1100777,80.0388,7.12996
1100812,80.0388,7.15697
1100847,80.0388,7.184
1100882,80.0388,7.21101
1100917,80.0388,7.23801
1100008,80.066,6.53517
1100043,80.066,6.56223
1100078,80.066,6.58927
1100113,80.066,6.61632
1100148,80.066,6.64336
1100183,80.066,6.67042
1100218,80.066,6.69746
1100253,80.066,6.72449
1100288,80.066,6.75154
1100323,80.066,6.77859
1100358,80.066,6.80562
1100393,80.066,6.83266
1100428,80.066,6.85969
1100463,80.066,6.88672
1100498,80.066,6.91376
1100533,80.066,6.94079
1100568,80.066,6.96781
1100603,80.066,6.99484
1100638,80.066,7.02187
1100673,80.066,7.0489
1100708,80.066,7.07591
1100743,80.066,7.10294
1100778,80.066,7.12996
1100813,80.066,7.15697
1100848,80.066,7.184
1100883,80.066,7.21101
1100918,80.066,7.23801
1100009,80.0933,6.53517
1100044,80.0933,6.56223
1100079,80.0933,6.58927
1100114,80.0933,6.61632
1100149,80.0933,6.64336
1100184,80.0933,6.67042
1100219,80.0933,6.69746
1100254,80.0933,6.72449
1100289,80.0933,6.75154
1100324,80.0933,6.77859
1100359,80.0933,6.80562
1100394,80.0933,6.83266
1100429,80.0933,6.85969
1100464,80.0933,6.88672
1100499,80.0933,6.91376
1100534,80.0933,6.94079
1100569,80.0933,6.96781
1100604,80.0933,6.99484
1100639,80.0933,7.02187
1100674,80.0933,7.0489
1100709,80.0933,7.07591
1100744,80.0933,7.10294
1100779,80.0933,7.12996
1100814,80.0933,7.15697
1100849,80.0933,7.184
1100884,80.0933,7.21101
1100919,80.0933,7.23801
1100010,80.1205,6.53517
1100045,80.1205,6.56223
1100080,80.1205,6.58927
1100115,80.1205,6.61632
1100150,80.1205,6.64336
1100185,80.1205,6.67042
1100220,80.1205,6.69746
1100255,80.1205,6.72449
1100290,80.1205,6.75154
1100325,80.1205,6.77859
1100360,80.1205,6.80562
1100395,80.1205,6.83266
1100430,80.1205,6.85969
1100465,80.1205,6.88672
1100500,80.1205,6.91376
1100535,80.1205,6.94079
1100570,80.1205,6.96781
1100605,80.1205,6.99484
1100640,80.1205,7.02187
1100675,80.1205,7.0489
1100710,80.1205,7.07591
1100745,80.1205,7.10294
1100780,80.1205,7.12996
1100815,80.1205,7.15697
1100850,80.1205,7.184
1100885,80.1205,7.21101
1100920,80.1205,7.23801
1100011,80.1477,6.53517
1100046,80.1477,6.56223
1100081,80.1477,6.58927
1100116,80.1477,6.61632
1100151,80.1477,6.64336
1100186,80.1477,6.67042
1100221,80.1477,6.69746
1100256,80.1477,6.72449
1100291,80.1477,6.75154
1100326,80.1477,6.77859
1100361,80.1477,6.80562
1100396,80.1477,6.83266
1100431,80.1477,6.85969
1100466,80.1477,6.88672
1100501,80.1477,6.91376
1100536,80.1477,6.94079
1100571,80.1477,6.96781
1100606,80.1477,6.99484
1100641,80.1477,7.02187
1100676,80.1477,7.0489
1100711,80.1477,7.07591
1100746,80.1477,7.10294
1100781,80.1477,7.12996
1100816,80.1477,7.15697
1100851,80.1477,7.184
1100886,80.1477,7.21101
1100921,80.1477,7.23801
