1.5          0.0           0.000
R            2228           0.045               5               2          181.07
R            2229           0.045               5               2          181.07
R            2230           0.045               5               2             150
R            2231           0.045               5               2          181.07
R            2360           0.045               5               2          181.07
R            2361           0.045               5               2          181.07
R            2234           0.045               5               2          181.07
R            2235           0.045               5               2             150
R            2108           0.045               5               2          181.07
R            1983           0.045               5               2          181.07
R            1858           0.045               5               2             150
R            1731           0.045               5               2          181.07
R            1605           0.045               5               2             150
1.5          0.0           0.000
R            9330           0.040               5               2             150
R            9161           0.040               5               2          181.07
R            8991           0.040               5               2             150
R            8820           0.040               5               2             150
R            8648           0.040               5               2             150
R            8481           0.040               5               2             150
R            8315           0.040               5               2          181.07
R            8146           0.040               5               2          181.07
R            7976           0.040               5               2             150
R            7977           0.040               5               2             150
R            7808           0.040               5               2          181.07
R            7809           0.040               5               2             150
R            7639           0.040               5               2             150
R            7640           0.040               5               2             150
R            7641           0.040               5               2             150
R            7642           0.040               5               2             150
R            7643           0.040               5               2             150
R            7473           0.040               5               2          181.07
R            7304           0.040               5               2          181.07
R            7134           0.040               5               2             150
R            7135           0.040               5               2             150
R            6965           0.040               5               2             150
R            6966           0.040               5               2             150
R            6795           0.040               5               2             150
1.5          0.0           0.000
R            4123           0.040               5               2             150
R            4297           0.040               5               2             150
R            4473           0.040               5               2          181.07
R            4653           0.040               5               2          181.07
R            4654           0.040               5               2             150
R            4655           0.040               5               2             150
1.5          0.0           0.000
R            2875           0.040               5               2             150
R            2735           0.040               5               2          181.07
R            2734           0.040               5               2             150
R            2733           0.040               5               2          181.07
R            2594           0.040               5               2          212.13
R            2463           0.040               5               2          212.13
R            2333           0.040               5               2          212.13
R            2204           0.040               5               2          212.13
R            2331           0.040               5               2          181.07
R            2330           0.040               5               2             150
R            2329           0.040               5               2          181.07
R            2457           0.040               5               2          181.07
R            2456           0.040               5               2             150
R            2455           0.040               5               2             150
R            2454           0.040               5               2          181.07
R            2324           0.040               5               2             150
1.5          0.0           0.000
R            4121           0.040               5               2             150
R            4294           0.040               5               2          212.13
1.5          0.0           0.000
R           25922           0.030               5               2             150
R           25741           0.030               5               2             150
R           25563           0.030               5               2          181.07
R           25387           0.030               5               2          212.13
R           25212           0.030               5               2          212.13
R           25037           0.030               5               2          181.07
R           24863           0.030               5               2             150
R           24683           0.030               5               2             150
R           24503           0.031               5               2          181.07
R           24324           0.032               5               2          181.07
R           24141           0.032               5               2             150
R           23961           0.033               5               2          181.07
R           23780           0.033               5               2          212.13
R           23599           0.034               5               2          181.07
R           23425           0.034               5               2             150
R           23251           0.035               5               2          181.07
R           23078           0.036               5               2          212.13
R           22905           0.037               5               2          181.07
R           22732           0.038               5               2          181.07
R           22561           0.039               5               2          181.07
R           22390           0.040               5               2             150
R           22219           0.040               5               2             150
R           22218           0.040               5               2             150
R           22217           0.040               5               2          181.07
R           22046           0.040               5               2          212.13
R           21875           0.040               5               2          181.07
R           21704           0.040               5               2             150
R           21537           0.040               5               2             150
R           21374           0.040               5               2             150
R           21209           0.040               5               2             150
R           21045           0.040               5               2             150
R           21046           0.040               5               2             150
R           21047           0.040               5               2             150
R           21048           0.040               5               2             150
R           21049           0.040               5               2             150
R           20886           0.040               5               2          181.07
R           20725           0.040               5               2          181.07
R           20567           0.040               5               2             150
R           20413           0.040               5               2             150
R           20260           0.040               5               2             150
R           20106           0.040               5               2          181.07
R           19955           0.040               5               2          181.07
R           19804           0.040               5               2          181.07
R           19657           0.040               5               2          212.13
R           19517           0.040               5               2          212.13
R           19378           0.040               5               2          181.07
R           19238           0.040               5               2          181.07
R           19099           0.040               5               2          181.07
R           18960           0.040               5               2             150
R           18822           0.040               5               2          181.07
R           18688           0.040               5               2          212.13
R           18554           0.040               5               2          181.07
R           18419           0.040               5               2          181.07
R           18284           0.040               5               2          181.07
R           18146           0.040               5               2             150
R           18008           0.040               5               2             150
R           17869           0.040               5               2             150
R           17730           0.040               5               2             150
R           17591           0.040               5               2             150
R           17452           0.040               5               2          181.07
R           17314           0.040               5               2          181.07
R           17315           0.040               5               2             150
R           17316           0.040               5               2             150
R           17317           0.040               5               2             150
R           17318           0.040               5               2          181.07
