1.5          0.0           0.000
N            7808           0.040          181.07             203
N            7809           0.040             150             202
N            7639           0.040             150             201
N            7640           0.040             150             200
N            7641           0.040             150             199
N            7642           0.040             150             198
N            7643           0.040             150             197
N            7473           0.040          181.07             196
N            7304           0.040          181.07             195
N            7134           0.040             150             194
N            7135           0.040             150             193
N            6965           0.040             150             192
N            6966           0.040             150             191
N            6795           0.040             150             190
1.5          0.0           0.000
N            4123           0.040             150             214
N            4297           0.040             150             215
N            4473           0.040          181.07             216
N            4653           0.040          181.07             217
N            4654           0.040             150             218
N            4655           0.040             150             219
1.5          0.0           0.000
N            2875           0.040             150             220
N            2735           0.040          181.07             221
N            2734           0.040             150             222
N            2733           0.040          181.07             223
N            2594           0.040          212.13             224
N            2463           0.040          212.13             225
N            2333           0.040          212.13             226
N            2204           0.040          212.13             227
N            2331           0.040          181.07             228
N            2330           0.040             150             229
N            2329           0.040          181.07             230
N            2457           0.040          181.07             231
N            2456           0.040             150             232
N            2455           0.040             150             233
N            2454           0.040          181.07             234
N            2324           0.040             150             235
1.5          0.0           0.000
N            4121           0.040             150             236
N            4294           0.040          212.13             237
1.5          0.0           0.000
N           25922           0.030             150             238
N           25741           0.030             150             239
N           25563           0.030          181.07             240
N           25387           0.030          212.13             241
N           25212           0.030          212.13             242
N           25037           0.030          181.07             243
N           24863           0.030             150             244
N           24683           0.030             150             245
N           24503           0.031          181.07             246
N           24324           0.032          181.07             247
N           24141           0.032             150             248
N           23961           0.033          181.07             249
N           23780           0.033          212.13             250
N           23599           0.034          181.07             251
N           23425           0.034             150             252
N           23251           0.035          181.07             253
N           23078           0.036          212.13             254
N           22905           0.037          181.07             255
N           22732           0.038          181.07             256
N           22561           0.039          181.07             257
N           22390           0.040             150             258
N           22219           0.040             150             259
N           22218           0.040             150             260
N           22217           0.040          181.07             261
N           22046           0.040          212.13             262
N           21875           0.040          181.07             263
N           21704           0.040             150             264
N           21537           0.040             150             265
N           21374           0.040             150             266
N           21209           0.040             150             267
N           21045           0.040             150             268
N           21046           0.040             150             269
N           21047           0.040             150             270
N           21048           0.040             150             271
N           21049           0.040             150             272
N           20886           0.040          181.07             273
N           20725           0.040          181.07             274
N           20567           0.040             150             275
N           20413           0.040             150             276
N           20260           0.040             150             277
N           20106           0.040          181.07             278
N           19955           0.040          181.07             279
N           19804           0.040          181.07             280
N           19657           0.040          212.13             281
N           19517           0.040          212.13             282
N           19378           0.040          181.07             283
N           19238           0.040          181.07             284
N           19099           0.040          181.07             285
N           18960           0.040             150             286
N           18822           0.040          181.07             287
N           18688           0.040          212.13             288
N           18554           0.040          181.07             289
N           18419           0.040          181.07             290
N           18284           0.040          181.07             291
N           18146           0.040             150             292
N           18008           0.040             150             293
N           17869           0.040             150             294
N           17730           0.040             150             295
N           17591           0.040             150             296
N           17452           0.040          181.07             297
N           17314           0.040          181.07             298
N           17315           0.040             150             299
N           17316           0.040             150             300
N           17317           0.040             150             301
N           17318           0.040          181.07             302
N           17180           0.040          181.07             303
N           17181           0.040             150             304
N           17046           0.040             150             305
N           17047           0.040          181.07             306
N           16914           0.040          212.13             307
N           16781           0.040          181.07             308
N           16782           0.040             150             309
N           16783           0.040             150             310
N           16784           0.040          181.07             311
N           16919           0.040          181.07             312
N           16920           0.040             150             313
N           16921           0.040             150             314
N           16787           0.040             150             315
N           16653           0.040          181.07             316
N           16517           0.040          181.07             317
N           16383           0.040             150             318
N           16249           0.040          181.07             319
N           16114           0.040          181.07             320
N           15979           0.040             150             321
N           15844           0.040             150             322
N           15708           0.040          181.07             323
N           15570           0.040          181.07             324
N           15434           0.040             150             325
N           15298           0.040          181.07             326
N           15164           0.040          181.07             327
N           15030           0.040             150             328
N           14896           0.040             150             329
N           14762           0.040             150             330
N           14631           0.040             150             331
N           14630           0.040             150             332
N           14499           0.040          181.07             333
N           14367           0.040          181.07             334
N           14366           0.040          181.07             335
N           14239           0.040          181.07             336
N           14238           0.040          181.07             337
N           14114           0.040          181.07             338
N           13991           0.040             150             339
N           13992           0.040          181.07             340
N           13871           0.040          181.07             341
N           13749           0.040             150             342
N           13626           0.040             150             343
N           13504           0.040          181.07             344
N           13381           0.040             150             345
N           13258           0.040          181.07             346
N           13134           0.040             150             347
N           13011           0.040             150             348
N           12885           0.040             150             349
N           12758           0.040             150             350
N           12617           0.040             150             351
N           12474           0.040          181.07             352
N           12329           0.039          181.07             353
N           12181           0.039          181.07             354
N           12034           0.038          181.07             355
N           11886           0.038             150             356
N           11737           0.037             150             357
N           11589           0.037          181.07             358
N           11442           0.036          181.07             359
N           11296           0.035             150             360
N           11149           0.035          181.07             361
N           11003           0.035          181.07             362
N           10856           0.035          181.07             363
N           10708           0.035          212.13             364
N           10559           0.035             150             365
N           10410           0.035             181             366
N           10262           0.035             150             367
N           10110           0.035          181.07             368
N            9959           0.036          181.07             369
N            9807           0.037          181.07             370
N            9652           0.037          181.07             371
N            9653           0.038             150             372
N            9654           0.038             150             373
N            9498           0.039             150             374
N            9340           0.039          181.07             375
N            9172           0.040          212.13             376
N            9003           0.040          212.13             377
N            8833           0.040          181.07             378
N            8834           0.040          181.07             379
N            8662           0.040          181.07             380
N            8495           0.040             150             381
N            8329           0.040             150             382
N            8159           0.040             150             383
N            7989           0.040          181.07             384
N            7818           0.040          181.07             385
N            7648           0.040             150             386
N            7479           0.040             150             387
N            7480           0.040             150             388
N            7310           0.040          181.07             389
N            7141           0.040          212.13             390
N            6970           0.040          212.13             391
N            6798           0.040          181.07             392
N            6797           0.040             150             393
N            6796           0.040             150             394
N            6623           0.040          181.07             395
N            6446           0.040          181.07             396
N            6268           0.040             150             397
N            6091           0.040             150             398
N            5913           0.040          181.07             399
N            5735           0.040          181.07             400
N            5736           0.040             150             401
N            5737           0.040             150             402
N            5559           0.040             150             403
N            5380           0.040          181.07             404
N            5199           0.040          181.07             405
N            5020           0.040          181.07             406
N            4840           0.040          181.07             407
N            4661           0.040             150             408
N            4482           0.040             150             409
N            4306           0.040             150             410
N            4132           0.040             150             411
N            3962           0.040             150             412
N            3963           0.040             150             413
