id,name
327623fdbfa1443611273a2cd99372fdabd519d415d76839b17155f4f63c3b0f,Yakbedda
50ba53b9dcf08efd0eb4ebaf4cc51d2a325b5276b02a8d4c8ef4a28a27ef31b5,"Kaduwela Bridge"
5c5210be1577a01a138fd646dff963fe4974c4dab1accd175cc8ff73cf11bae8,Ingurukade
70648fc7b9abd08530b1d735b5db19b3e940b8b5b72dd696c8114b0c4b01a6d2,"Janakala Kendraya"
9794fc574333193311c6399260819355bd30b9f66f71168a56ccbe66d73faac6,"Leecom WL Guage"
9dffdcda5ec23f11fa120cb1287a126171d3db1169357405ed32c2533b08e229,"Ranwala Bridge"
aeecb83bfe2d771ee56359e181957d6615c8e1e5fbc885e3ca4b097c1503489b,"Mattakkuliya Bridge"
b1a3f3b458e68295d1ec7c07042712b2ce94cdf7434fb74866bb310ce17d5e71,Wellampitiya
d279a32c420b87b4d30224e0b60f243d639a6b3fc443bfa3cfc5462254c4255c,Kitulgala
e32d036201b193da24454fe80b5f81c9267f7e5ee7b3838aa4ba1cc1ee7d7d11,"Diyasaru Uyana"
fcd9608cafcb5e48b7c93f6fe61feb8803cea591a2c93bebb9244c47dc116a53,Wellawatta
