id,name,station,name,latitude,longitude
0af5ecec986be44699e267415799b8b349eeb4e4925881a9fad5cf47fa8f3019,"A&T Labs",100063,Urumewella,7.079348,80.348785
10a5f9218d714384372915b146c0685f6f38da3c39d9782e99831ac9db512f48,Baththaramulla,100022,IBATTARA4,6.89,79.860004
1296ac4e2293abc8e4eb83e6b225c9ae953803b0987c1b95ef7aa289a8311159,"A&T Labs",100061,Mutwal,6.95871,79.8609
198e7bfa7c80a03e4fa2d5c8caebf4701cdc924b9de6990c7795256ed119824a,"A&T Labs",100059,Malabe,6.90396,79.95738
1ce1d5b46adc69d29c3dfde3f0f956d06050792827d4340cabd1079162c6bff8,Leecom,100056,Kotikawatta,6.935042,79.915401
22dc3a0aed19c2e821b27dd7e0ddd245de0d3a43684cfd7850e0862d3adf6b99,WUnderground,100025,Kompannaveediya,6.92,79.85
26cd91ccbedca5496a9be3e7deb33102bcfd7dfb7f784c06d40e83d90f99e6a6,Icharm,100012,Kahawatta,6.6,80.58
2db280b25876d67a50fb31ee1b5a9e1eda4c2a83ffb6feb4406b134b03f4745a,WUnderground,100026,Angurukaramulla,7.21,79.86
2f50e5e8db4528b7519de806e988ef330de38521f16bc9a09d1c6595d1936d6d,Icharm,100010,Kalawana,6.54,80.38
35b17689a81f0ddcea2d6e82192df8c0bc57084bd64988956389f74e6fa2cd0a,"Irrigation Department",100008,Norwood,6.835638889,80.61466667
390d37376b855dd07dea6286a4fcdc3bd1aacb929a7cc0309f7c4a9e68e80370,WUnderground,100023,Isurupaya,6.89,79.92
3fb96706de7433ba6aff4936c9800a28c9599efd46cbc9216a5404aab812d76a,"KLB Obs Mean",100035,"KLB Obs",7.111666667,80.14983333
440218e5612a79e8e8973c6f14a20c215b202f8faecebc774f9f7e0f7cfbb06a,"Irrigation Department",100006,Holombuwa,7.185166667,80.26480556
532be21866492dfa53e7742a1571fd3bb1fd79a7b465cb9f39082885fd3e1939,"LRWHF STATION",100023,Isurupaya,6.89,79.92
57954d510be848f23b5205c9b65ca19ea37f93a91a3d2f095f66d39cacf9926d,Icharm,100009,Kalutara,6.6,79.95
6a6a58a1625f3454c6a9f343bcc796db3bc68231e64fbefd696fb3745c5237bf,"Irrigation Department",100005,Hanwella,6.909722222,80.08166667
7306cf49c58964b955eae47bc644e1f71e20c7bdc51a701bc2d7a58f7cdd4851,WUnderground,100028,Yatiwawala,7.329,80.613
75846d3b6b5167933e6760c614e1bc962ce5d00898ad572ac5f096a97479ed58,"Irrigation Department",300001,Castlereigh,6.872778,80.564444
7dff1037732c33513c4b4bd76bfe700a2166c904de9e0382c0c80e039c038dde,"A&T Labs",100075,Attidiya,6.8458199,79.8829689
7f58b84e42bfe8cfdd2cce271809d0bbed54b28a57c991df815f88aeeb526701,Icharm,100050,Dompe,0,0
7faf3000db22cd73e09590f00a739e8a361d838cca49c2ba899aa3e6f4809e2c,"A&T Labs",100045,Waga,6.90678,80.118275
84f108c3ae0c433cc128df17c75a9bb03ea8614ca99f4bfec668407fbae9c11f,WUnderground,100038,Orugodawatta,6.943741,79.87887
8a8647d9df122b89ed25628ec21487367339fd89a5194c51cdade88e5fe79868,"CUrW IoT",100041,Uduwawala,7.329,80.613
8cc6aa244732628008f6f3f59e78b439eb2f7313e1a53354a3ff78abf464c9f9,"2017 May Flood",100007,Kitulgala,6.989166667,80.41777778
