id,latitude,longitude
1100000,5.722969,79.521461
1100001,5.722969,79.548691
1100002,5.722969,79.575920
1100003,5.722969,79.603149
1100004,5.722969,79.630379
1100005,5.722969,79.657608
1100006,5.722969,79.684837
1100007,5.722969,79.712067
1100008,5.722969,79.739296
1100009,5.722969,79.766525
1100010,5.722969,79.793747
1100011,5.722969,79.820976
1100012,5.722969,79.848206
1100013,5.722969,79.875435
1100014,5.722969,79.902664
1100015,5.722969,79.929893
1100016,5.722969,79.957123
1100017,5.722969,79.984352
1100018,5.722969,80.011581
1100019,5.722969,80.038811
1100020,5.722969,80.066040
1100021,5.722969,80.093269
1100022,5.722969,80.120499
1100023,5.722969,80.147728
1100024,5.722969,80.174957
1100025,5.722969,80.202187
1100026,5.722969,80.229416
1100027,5.722969,80.256645
1100028,5.722969,80.283875
1100029,5.722969,80.311104
1100030,5.722969,80.338333
1100031,5.722969,80.365562
1100032,5.722969,80.392792
1100033,5.722969,80.420021
1100034,5.722969,80.447250
1100035,5.722969,80.474480
1100036,5.722969,80.501709
1100037,5.722969,80.528938
1100038,5.722969,80.556168
1100039,5.722969,80.583397
1100040,5.722969,80.610626
1100041,5.722969,80.637856
1100042,5.722969,80.665085
1100043,5.722969,80.692314
1100044,5.722969,80.719543
1100045,5.722969,80.746773
1100046,5.722969,80.774002
1100047,5.722969,80.801231
1100048,5.722969,80.828461
1100049,5.722969,80.855690
1100050,5.722969,80.882919
1100051,5.722969,80.910149
1100052,5.722969,80.937378
1100053,5.722969,80.964607
1100054,5.722969,80.991837
1100055,5.722969,81.019066
1100056,5.722969,81.046295
1100057,5.722969,81.073524
1100058,5.722969,81.100754
1100059,5.722969,81.127983
1100060,5.722969,81.155212
1100061,5.722969,81.182442
1100062,5.722969,81.209671
1100063,5.722969,81.236900
1100064,5.722969,81.264130
1100065,5.722969,81.291359
1100066,5.722969,81.318588
1100067,5.722969,81.345818
1100068,5.722969,81.373047
1100069,5.722969,81.400276
1100070,5.722969,81.427505
1100071,5.722969,81.454735
1100072,5.722969,81.481964
1100073,5.722969,81.509193
1100074,5.722969,81.536423
1100075,5.722969,81.563652
1100076,5.722969,81.590881
1100077,5.722969,81.618111
1100078,5.722969,81.645340
1100079,5.722969,81.672569
1100080,5.722969,81.699799
1100081,5.722969,81.727028
1100082,5.722969,81.754257
1100083,5.722969,81.781487
1100084,5.722969,81.808716
1100085,5.722969,81.835945
1100086,5.722969,81.863174
1100087,5.722969,81.890404
1100088,5.722969,81.917633
1100089,5.722969,81.944855
1100090,5.722969,81.972084
1100091,5.722969,81.999313
1100092,5.722969,82.026543
1100093,5.722969,82.053772
1100094,5.722969,82.081001
1100095,5.722969,82.108231
1100096,5.722969,82.135460
1100097,5.722969,82.162689
1100098,5.722969,82.189919
1100099,5.750061,79.521461
