id,longitude,latitude
1102835,79.8482,6.53517
1102836,79.8754,6.53517
1102837,79.9027,6.53517
1102838,79.9299,6.53517
1102839,79.9571,6.53517
1102840,79.9844,6.53517
1102841,80.0116,6.53517
1102842,80.0388,6.53517
1102843,80.066,6.53517
1102844,80.0933,6.53517
1102845,80.1205,6.53517
1102846,80.1477,6.53517
1102847,80.175,6.53517
1102848,80.2022,6.53517
1102849,80.2294,6.53517
1102850,80.2566,6.53517
1102851,80.2839,6.53517
1102852,80.3111,6.53517
1102853,80.3383,6.53517
1102854,80.3656,6.53517
1102855,80.3928,6.53517
1102856,80.42,6.53517
1102857,80.4473,6.53517
1102858,80.4745,6.53517
1102859,80.5017,6.53517
1102860,80.5289,6.53517
1102861,80.5562,6.53517
1102862,80.5834,6.53517
1102863,80.6106,6.53517
1102864,80.6379,6.53517
1102865,80.6651,6.53517
1102866,80.6923,6.53517
1102867,80.7195,6.53517
1102868,80.7468,6.53517
1102869,80.774,6.53517
1102870,79.8482,6.56223
1102871,79.8754,6.56223
1102872,79.9027,6.56223
1102873,79.9299,6.56223
1102874,79.9571,6.56223
1102875,79.9844,6.56223
1102876,80.0116,6.56223
1102877,80.0388,6.56223
1102878,80.066,6.56223
1102879,80.0933,6.56223
1102880,80.1205,6.56223
1102881,80.1477,6.56223
1102882,80.175,6.56223
1102883,80.2022,6.56223
1102884,80.2294,6.56223
1102885,80.2566,6.56223
1102886,80.2839,6.56223
1102887,80.3111,6.56223
1102888,80.3383,6.56223
1102889,80.3656,6.56223
1102890,80.3928,6.56223
1102891,80.42,6.56223
1102892,80.4473,6.56223
1102893,80.4745,6.56223
1102894,80.5017,6.56223
1102895,80.5289,6.56223
1102896,80.5562,6.56223
1102897,80.5834,6.56223
1102898,80.6106,6.56223
1102899,80.6379,6.56223
1102900,80.6651,6.56223
1102901,80.6923,6.56223
1102902,80.7195,6.56223
1102903,80.7468,6.56223
1102904,80.774,6.56223
1102905,79.8482,6.58927
1102906,79.8754,6.58927
1102907,79.9027,6.58927
1102908,79.9299,6.58927
1102909,79.9571,6.58927
1102910,79.9844,6.58927
1102911,80.0116,6.58927
1102912,80.0388,6.58927
1102913,80.066,6.58927
1102914,80.0933,6.58927
1102915,80.1205,6.58927
1102916,80.1477,6.58927
1102917,80.175,6.58927
1102918,80.2022,6.58927
1102919,80.2294,6.58927
1102920,80.2566,6.58927
1102921,80.2839,6.58927
1102922,80.3111,6.58927
1102923,80.3383,6.58927
1102924,80.3656,6.58927
1102925,80.3928,6.58927
1102926,80.42,6.58927
1102927,80.4473,6.58927
1102928,80.4745,6.58927
1102929,80.5017,6.58927
1102930,80.5289,6.58927
1102931,80.5562,6.58927
1102932,80.5834,6.58927
1102933,80.6106,6.58927
1102934,80.6379,6.58927
1102935,80.6651,6.58927
1102936,80.6923,6.58927
1102937,80.7195,6.58927
1102938,80.7468,6.58927
1102939,80.774,6.58927
1102940,79.8482,6.61632
1102941,79.8754,6.61632
1102942,79.9027,6.61632
1102943,79.9299,6.61632
1102944,79.9571,6.61632
1102945,79.9844,6.61632
1102946,80.0116,6.61632
1102947,80.0388,6.61632
1102948,80.066,6.61632
1102949,80.0933,6.61632
1102950,80.1205,6.61632
1102951,80.1477,6.61632
1102952,80.175,6.61632
1102953,80.2022,6.61632
1102954,80.2294,6.61632
1102955,80.2566,6.61632
1102956,80.2839,6.61632
1102957,80.3111,6.61632
1102958,80.3383,6.61632
1102959,80.3656,6.61632
1102960,80.3928,6.61632
1102961,80.42,6.61632
1102962,80.4473,6.61632
1102963,80.4745,6.61632
1102964,80.5017,6.61632
1102965,80.5289,6.61632
1102966,80.5562,6.61632
1102967,80.5834,6.61632
1102968,80.6106,6.61632
1102969,80.6379,6.61632
1102970,80.6651,6.61632
1102971,80.6923,6.61632
1102972,80.7195,6.61632
1102973,80.7468,6.61632
1102974,80.774,6.61632
1102975,79.8482,6.64336
1102976,79.8754,6.64336
1102977,79.9027,6.64336
1102978,79.9299,6.64336
1102979,79.9571,6.64336
1102980,79.9844,6.64336
1102981,80.0116,6.64336
1102982,80.0388,6.64336
1102983,80.066,6.64336
1102984,80.0933,6.64336
1102985,80.1205,6.64336
1102986,80.1477,6.64336
1102987,80.175,6.64336
1102988,80.2022,6.64336
1102989,80.2294,6.64336
1102990,80.2566,6.64336
1102991,80.2839,6.64336
1102992,80.3111,6.64336
1102993,80.3383,6.64336
1102994,80.3656,6.64336
1102995,80.3928,6.64336
1102996,80.42,6.64336
1102997,80.4473,6.64336
1102998,80.4745,6.64336
1102999,80.5017,6.64336
1103000,80.5289,6.64336
1103001,80.5562,6.64336
1103002,80.5834,6.64336
1103003,80.6106,6.64336
1103004,80.6379,6.64336
1103005,80.6651,6.64336
1103006,80.6923,6.64336
1103007,80.7195,6.64336
1103008,80.7468,6.64336
1103009,80.774,6.64336
1103010,79.8482,6.67042
1103011,79.8754,6.67042
1103012,79.9027,6.67042
1103013,79.9299,6.67042
1103014,79.9571,6.67042
1103015,79.9844,6.67042
1103016,80.0116,6.67042
1103017,80.0388,6.67042
1103018,80.066,6.67042
1103019,80.0933,6.67042
1103020,80.1205,6.67042
1103021,80.1477,6.67042
1103022,80.175,6.67042
1103023,80.2022,6.67042
1103024,80.2294,6.67042
1103025,80.2566,6.67042
1103026,80.2839,6.67042
1103027,80.3111,6.67042
1103028,80.3383,6.67042
1103029,80.3656,6.67042
1103030,80.3928,6.67042
1103031,80.42,6.67042
1103032,80.4473,6.67042
1103033,80.4745,6.67042
1103034,80.5017,6.67042
1103035,80.5289,6.67042
1103036,80.5562,6.67042
1103037,80.5834,6.67042
1103038,80.6106,6.67042
1103039,80.6379,6.67042
1103040,80.6651,6.67042
1103041,80.6923,6.67042
1103042,80.7195,6.67042
1103043,80.7468,6.67042
1103044,80.774,6.67042
1103045,79.8482,6.69746
1103046,79.8754,6.69746
1103047,79.9027,6.69746
1103048,79.9299,6.69746
1103049,79.9571,6.69746
1103050,79.9844,6.69746
1103051,80.0116,6.69746
1103052,80.0388,6.69746
1103053,80.066,6.69746
1103054,80.0933,6.69746
1103055,80.1205,6.69746
1103056,80.1477,6.69746
1103057,80.175,6.69746
1103058,80.2022,6.69746
1103059,80.2294,6.69746
1103060,80.2566,6.69746
1103061,80.2839,6.69746
1103062,80.3111,6.69746
1103063,80.3383,6.69746
1103064,80.3656,6.69746
1103065,80.3928,6.69746
