obs_grid_id,d03_1_id,d03_1_dist,d03_2_id,d03_2_dist,d03_3_id,d03_3_dist
100063,1104980,1.2149890924120177,1104981,1.8903159349973155,1105079,2.8652350582179933
100056,1104469,1.5442911706584066,1104470,1.7225173690225823,1104370,2.7528873288671383
100041,1105881,1.1365144308624464,1105980,1.9134255019329773,1105882,2.955993821155219
100038,1104468,0.5015748593226341,1104469,2.6468211676066544,1104567,2.7032930152127856
100039,1105274,1.4339409521908075,1105373,1.5990719864520977,1105275,3.1374856545617313
100042,1104174,0.6650528173940691,1104273,2.353893827010301,1104175,2.962485532800349
100043,1104371,1.362228862450525,1104370,1.9135358693091544,1104272,2.6543399306024025
100037,1104389,1.6850492804474675,1104388,1.9563096738577352,1104290,2.392464802790664
100040,1114473,0.9897132905049221,1114472,2.005593458231929,1114374,3.0309065385298677
100064,1104171,1.1547658251827007,1104172,1.8637802384142055,1104270,3.092934439700093
100046,1104304,0.45390541674438495,1104403,2.5807257831290795,1104305,2.892386227483945
100057,1104371,1.6559212856022139,1104372,2.0711267528656037,1104470,2.2839034386988013
