flo2d_250_station_id,ob_1_id,ob_1_dist,ob_2_id,ob_2_dist,ob_3_id,ob_3_dist,ob_4_id,ob_4_dist,ob_5_id,ob_5_dist,ob_6_id,ob_6_dist,ob_7_id,ob_7_dist,ob_8_id,ob_8_dist,ob_9_id,ob_9_dist,ob_10_id,ob_10_dist
4705,100057,4.658052701447381,100056,6.8942171071944305,100043,7.653721565156993,100042,9.164284681423062,100038,10.823052478297173,100064,13.797552933912081,100034,26.53499650231138,100009,38.573518483793094,100039,39.81715631562695,100063,43.64359950676148
4706,100057,4.796535161851238,100056,6.942499636487385,100043,7.794795617703255,100042,9.409283237515824,100038,10.831437440888019,100064,13.970846560552216,100034,26.360986329905177,100009,38.824077163284514,100039,39.660474187031866,100063,43.558686153475605
4707,100057,4.943920311328415,100056,6.999476891960343,100043,7.941317743514076,100042,9.654605754582406,100038,10.845640273192254,100064,14.146481686453695,100034,26.188231416746664,100009,39.074645370717974,100039,39.50476922252338,100063,43.475059552453516
4708,100057,5.099436286333879,100056,7.064938512097676,100043,8.092992041367905,100042,9.900228149809854,100038,10.865638159826249,100064,14.3243721809279,100034,26.016756768041894,100009,39.32522292412308,100039,39.3500530219944,100063,43.39272714337603
4709,100057,5.262362275167521,100056,7.138651095898642,100043,8.249534333771644,100042,10.146128644358484,100038,10.891399179668978,100064,14.504435062115519,100034,25.846587864603134,100039,39.19633729401366,100009,39.57580964567838,100063,43.31169630640368
4710,100057,5.432031563293174,100056,7.220361946570991,100043,8.410672810525794,100042,10.392287498036744,100038,10.922882557560182,100064,14.68659042716775,100034,25.677750666948974,100039,39.04363385499603,100009,39.82640536248648,100063,43.23197436074954
4711,100057,5.607832112386218,100056,7.309802847276722,100043,8.576148402796798,100042,10.638686776151108,100038,10.960038979784848,100064,14.870761382314951,100034,25.510271615938382,100039,38.891954628855295,100009,40.0770099059707,100063,43.15356856022237
4712,100057,5.789205385664216,100056,7.406693767107083,100043,8.745714927644759,100042,10.885310152795464,100038,11.00281097304737,100064,15.05687396582432,100034,25.344177636514644,100039,38.74131164575593,100009,40.327623111406,100063,43.07648609177126
4713,100057,5.975643972736096,100056,7.510746390384813,100043,8.91913906264305,100038,11.051133334157466,100042,11.132142732985876,100064,15.244857066366162,100034,25.179496137703318,100039,38.59171704028885,100009,40.578244818244556,100063,43.00073407162242
4714,100057,6.167543402683769,100056,7.622173026602087,100043,9.096991394758486,100038,11.105183719568567,100042,11.380264363614154,100064,15.43548600287816,100034,25.015535951549694,100039,38.44252819649294,100009,40.829983870830816,100063,42.92599325840007
4715,100057,6.36279656950459,100056,7.739695537151927,100043,9.277495949240606,100038,11.16440641372311,100042,11.62747644093196,100064,15.627015325257965,100034,24.85377014813323,100039,38.29507194030911,100009,41.08062215077073,100063,42.85292915441322
4716,100057,6.561865029126122,100056,7.863495167819506,100043,9.461232140597176,100038,11.228942046883686,100042,11.874860154738595,100064,15.82021781218814,100034,24.693502095695678,100039,38.14870113935552,100009,41.33126847319331,100063,42.78121642942581
4717,100057,6.764411948546194,100056,7.993280263006016,100043,9.648015341143147,100038,11.298699579777566,100042,12.122404997206251,100064,16.015032909243676,100034,24.53476114502794,100039,38.00342833523024,100009,41.58192269272515,100063,42.71086189022982
4718,100057,6.970134092874275,100056,8.12876413398411,100043,9.837671996347646,100038,11.373582931364776,100042,12.370101295411796,100064,16.211402479543008,100034,24.377577129372273,100039,37.859266167698244,100009,41.83258466725942,100063,42.641872259723655
4719,100057,7.178758488476985,100056,8.269666692598559,100043,10.03003910562471,100038,11.453491564218574,100042,12.617940129211727,100064,16.40927071583686,100034,24.221980358259128,100039,37.71622737228362,100009,42.08325425828719,100063,42.574254173116444
4720,100057,7.384155800767883,100056,8.406815487079774,100043,10.21806822887456,100038,11.52797126900273,100042,12.864145089596725,100064,16.60190470737747,100034,24.07675288536096,100039,37.58345151168306,100009,42.33315809032267,100063,42.51866928351351
4721,100057,7.598037199244157,100056,8.557904880014505,100043,10.415537475805214,100038,11.617693860014867,100042,13.112278366986452,100064,16.80269156049326,100034,23.924479102408434,100039,37.442732304956856,100063,42.4538300529223,100009,42.58384706719862
4722,100057,7.814146502894426,100056,8.713623191128617,100043,10.615282726666392,100038,11.712122073538634,100042,13.360530041286218,100064,17.004821412328983,100034,23.773886402384225,100039,37.30317520413494,100063,42.39038141902525,100009,42.83454321135082
4723,100057,8.032303887987613,100056,8.87372673484813,100043,10.817177899014874,100038,11.81114304776208,100042,13.60889363253656,100064,17.208246937728486,100034,23.625006932787873,100039,37.16479330067654,100063,42.32832963529914,100009,43.08524639690471
4724,100057,8.252346929531825,100056,9.037982467515036,100043,11.021104840815973,100038,11.914642274712213,100042,13.857363123173817,100064,17.4129227263771,100034,23.477873285372393,100039,37.02759977031303,100063,42.26768085365622,100009,43.335956502249125
4725,100057,8.474128736120981,100056,9.20616814247879,100043,11.226952836630675,100038,12.022504096952353,100042,14.105932917788627,100064,17.618805206115486,100034,23.332518487700966,100039,36.89160787162914,100063,42.208441121870834,100009,43.586673407846135
4726,100057,8.697516295974047,100056,9.378072324949928,100043,11.434618137001896,100038,12.134612181209517,100042,14.354597804480987,100064,17.825852566703496,100034,23.188975990509,100039,36.756830941336936,100063,42.15061638102681,100009,43.837396996788705
4727,100057,8.922389002250595,100056,9.553494285037422,100043,11.644003511119967,100038,12.250849954264988,100042,14.603352926890448,100064,18.034024685759125,100034,23.047279655571067,100039,36.62328239354092,100063,42.09421246245266,100009,44.08812715523716
4728,100057,9.148637341142567,100056,9.732243803384911,100043,11.855017818552593,100038,12.371101010634705,100042,14.852193749578284,100064,18.24328306064569,100034,22.90746374252,100039,36.49097571482381,100063,42.03923508510727,100009,44.33886377172281
4729,100057,9.37616173030734,100056,9.914140896274699,100043,12.067575607942365,100038,12.495249482270857,100042,15.101116037231487,100064,18.453590737263774,100034,22.769562891208786,100039,36.35992446186375,100063,41.985689852778634,100009,44.58960673728355
4730,100057,9.604871487606458,100056,10.09901548858984,100043,12.281596741039683,100038,12.623180377476967,100042,15.35011582645708,100064,18.664912246815756,100034,22.633612104805376,100039,36.230142258166175,100063,41.93358225174117,100009,44.8403559454945
