0           41550
H             26.5          348.0
H             26.583        348.0
H             26.667        347.0
H             26.75         342.0
H             26.833        342.0
H             26.917        338.0
H             27.0          337.0
H             27.083        335.0
H             27.167        332.0
H             27.25         331.0
H             27.333        331.0
H             27.417        327.0
H             27.5          324.0
H             27.583        323.0
H             27.667        323.0
H             27.75         319.0
H             27.833        317.0
H             27.917        318.0
H             28.0          314.0
H             28.083        313.0
H             28.167        314.0
H             28.25         311.0
H             28.333        309.0
H             28.417        306.0
H             28.5          306.0
H             28.583        302.0
H             28.667        301.0
H             28.75         301.0
H             28.833        299.0
H             28.917        296.0
H             29.0          294.0
H             29.083        294.0
H             29.167        291.0
H             29.25         291.0
H             29.333        289.0
H             29.417        286.0
H             29.5          285.0
H             29.583        283.0
H             29.667        282.0
H             29.75         279.0
H             29.833        279.0
H             29.917        277.0
H             30.0          275.0
H             30.083        275.0
H             30.167        272.0
H             30.25         271.0
H             30.333        270.0
H             30.417        269.0
H             30.5          266.0
H             30.583        265.0
H             30.667        266.0
H             30.75         263.0
H             30.833        262.0
H             30.917        259.0
H             31.0          259.0
H             31.083        257.0
H             31.167        257.0
H             31.25         257.0
H             31.333        257.0
H             31.417        253.0
H             31.5          253.0
H             31.583        253.0
H             31.667        250.0
H             31.75         250.0
H             31.833        248.0
H             31.917        249.0
H             32.0          250.0
H             32.083        248.0
H             32.167        247.0
H             32.25         245.0
H             32.333        244.0
H             32.417        244.0
H             32.5          244.0
H             32.583        244.0
H             32.667        244.0
H             32.75         244.0
H             32.833        241.0
H             32.917        241.0
H             33.0          240.0
H             33.083        242.0
H             33.167        241.0
H             33.25         239.0
H             33.333        239.0
H             33.417        239.0
H             33.5          237.0
H             33.583        240.0
H             33.667        237.0
H             33.75         238.0
H             33.833        238.0
H             33.917        235.0
H             34.0          238.0
H             34.083        235.0
H             34.167        237.0
H             34.25         235.0
H             34.333        234.0
H             34.417        233.0
H             34.5          235.0
H             34.583        233.0
H             34.667        233.0
H             34.75         233.0
H             34.833        234.0
H             34.917        235.0
H             35.0          232.0
H             35.083        230.0
H             35.167        195.0
H             35.25         229.0
H             35.333        230.0
H             35.417        230.0
H             35.5          230.0
H             35.583        230.0
H             35.667        230.0
H             35.75         230.0
H             35.833        230.0
H             35.917        230.0
H             36.0          230.0
H             36.083        230.0
H             36.167        230.0
H             36.25         230.0
H             36.333        230.0
H             36.417        230.0
H             36.5          230.0
H             36.583        230.0
H             36.667        230.0
H             36.75         230.0
H             36.833        230.0
H             36.917        230.0
H             37.0          230.0
H             37.083        230.0
H             37.167        230.0
H             37.25         230.0
H             37.333        230.0
H             37.417        230.0
H             37.5          230.0
H             37.583        230.0
H             37.667        230.0
H             37.75         230.0
H             37.833        230.0
H             37.917        230.0
H             38.0          230.0
H             38.083        200.0
